"","species","method","sampling","formula_null","loglik_null","npar_null","nobs_null","AICc_null","formula_best","loglik_best","npar_best","nobs_best","AICc_best","deltaAICc"
"55","T. terrestris","camera + observations","Warapata","pa ~ bloque | walk + cam",-16.2447692775677,9,72,53.392764361587,"pa ~ bsq + frs + dbsq | walk + cam",-14.2163356092433,7,72,44.1826712184865,9.21009314310045
"56","T. tetradactyla","camera + observations","Warapata","pa ~ bloque | walk * cam",-7.97946380696443,10,72,39.565484990978,"pa ~ bsq + dcon + dcom | walk * cam",-6.70678423272232,8,72,31.6992827511589,7.86620223981911
"57","C. alector","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-8.4793682291815,12,72,46.2468720515833,NA,NA,NA,NA,NA,NA
"58","C. olivaceus","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-5.5451941465721,12,72,40.3785238863645,"pa_cam ~ bsq + frs | cam",-5.06754158044149,5,72,21.0441740699739,19.3343498163906
"59","C. paca","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-33.4910232222644,12,72,96.270182037749,"pa_cam ~ bsq + dcon + dbsq | cam",-34.8181609364342,6,72,82.928629565176,13.341552472573
"60","C. thous","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-24.1443281293175,12,72,77.5767918518554,"pa_cam ~ bsq + dbsq | cam",-27.4743216920903,5,72,65.8577342932716,11.7190575585838
"61","C. unicinctus","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-5.20546545085258,12,72,39.6990664949255,NA,NA,NA,NA,NA,NA
"62","D. imperfecta","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-10.7238265381965,12,72,50.7357886696134,"pa_cam ~ bsq + frs | cam",-13.4456748661979,5,72,37.8004406414867,12.9353480281267
"63","D. kappleri","camera only","Warapata + Kavanayen","pa_cam ~ bloque | muestreo + cam",-20.0005488292807,13,72,72.276959727527,"pa_cam ~ bsq + frs | muestreo + cam",-21.4228355088479,6,72,56.1379787100034,16.1389810175236
"64","D. leporina","camera only","Warapata + Kavanayen","pa_cam ~ bloque | muestreo + cam",-16.4929378262119,13,72,65.2617377213893,"pa_cam ~ bsq + dcon + frs | muestreo + cam",-20.152350452037,7,72,56.054700904074,9.20703681731534
"65","D. marsupialis","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-2.7725922140109,12,72,34.8333200212421,"pa_cam ~ bsq + dbsq | cam",-5.4052089753854,5,72,21.7195088598617,13.1138111613804
"66","D. novemcinctus","camera only","Warapata + Kavanayen","pa_cam ~ bloque | muestreo + cam",-27.8360702144003,13,72,87.9480024977661,"pa_cam ~ bsq + dbsq | muestreo + cam",-29.1213529507619,6,72,71.5350135938314,16.4129889039347
"67","E. barbara","camera only","Warapata + Kavanayen","pa_cam ~ bloque | muestreo + cam",-17.7126819209726,13,72,67.7012259109108,"pa_cam ~ bsq + dcon + frs + dbsq | muestreo + cam",-17.9498496754747,8,72,54.1854136366638,13.515812274247
"68","H. hydrochaeris","camera only","Warapata + Kavanayen","pa_cam ~ bloque | muestreo + cam",-4.33093001985011,13,72,40.9377221086657,"pa_cam ~ bsq + dcom + dbsq | muestreo + cam",-5.75315741167491,7,72,27.2563148233498,13.6814072853159
"69","L. pardalis","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-17.2284645714561,12,72,63.7450647361326,"pa_cam ~ bsq + dcom | cam",-19.1068522891561,5,72,49.122795487403,14.6222692487295
"70","L. rufaxilla","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-18.4870768870636,12,72,66.2622893673475,NA,NA,NA,NA,NA,NA
"71","L. wiedii","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-4.02639740245414,12,72,37.3409303981286,"pa_cam ~ bsq + dcom | cam",-6.28129969747082,5,72,23.4716903040325,13.8692400940961
"72","M. americana","camera only","Warapata + Kavanayen","pa_cam ~ bloque | muestreo + cam",-21.7861985317283,13,72,75.8482591324221,"pa_cam ~ bsq + frs | muestreo + cam",-21.1228482608485,6,72,55.5380042140048,20.3102549184173
"73","M. gouazoubira","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-15.7179113474068,12,72,60.723958288034,NA,NA,NA,NA,NA,NA
"74","M. tridactyla","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-22.3655216872527,12,72,74.0191789677258,NA,NA,NA,NA,NA,NA
"75","N. nasua","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-3.28700273374792,12,72,35.8621410607162,NA,NA,NA,NA,NA,NA
"76","O. virginianus","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-7.05870844700983,12,72,43.40555248724,"pa_cam ~ bsq + dbsq | cam",-8.2509209783148,5,72,27.4109328657205,15.9946196215195
"77","P. concolor","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-11.1904747525673,12,72,51.669085098355,"pa_cam ~ bsq + dbsq | cam",-13.4032392875762,5,72,37.7155694842432,13.9535156141118
